Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),14-Jan-20,Unit,"1,035,461",14,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),14-Jan-20,Unit,"1,611,952",14,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),14-Jan-20,Unit,"1,676,287",14,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,14-Jan-20,Person,"1,025,563",14,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),14-Jan-20,Person,"527,523",14,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,14-Jan-20,Person,"32,484",14,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,14-Jan-20,Person,"32,546",14,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,14-Jan-20,Person,"211,886",14,Jan,2020
Rail,Provincial ,Public,Train,14-Jan-20,Person,"75,324",14,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,14-Jan-20,Person,"415,728",14,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,14-Jan-20,Person,"50,864",14,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,14-Jan-20,Person,"82,286",14,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,14-Jan-20,Person,"866,800",14,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,15-Jan-20,Person,"136,102",15,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),15-Jan-20,Unit,"871,378",15,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),15-Jan-20,Unit,"1,058,657",15,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),15-Jan-20,Unit,"1,681,081",15,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),15-Jan-20,Unit,"1,742,417",15,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,15-Jan-20,Person,"1,048,013",15,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),15-Jan-20,Person,"543,498",15,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,15-Jan-20,Person,"32,504",15,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,15-Jan-20,Person,"32,026",15,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,15-Jan-20,Person,"189,367",15,Jan,2020
Rail,Provincial ,Public,Train,15-Jan-20,Person,"75,818",15,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,15-Jan-20,Person,"421,905",15,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,15-Jan-20,Person,"50,797",15,Jan,2020
